DEBUG - heuristics @ 14:49:52.399: H((id=1373445688,d=2,props={send invoice}|{send invoice},state=PlaceState{presetChildrenMask={3, 4, 5, 6}, postsetChildrenMask={6}})) = 2.0
DEBUG - heuristics @ 14:49:52.399: EnqueueNodeEvent((id=1373445688,d=2,props={send invoice}|{send invoice},state=PlaceState{presetChildrenMask={3, 4, 5, 6}, postsetChildrenMask={6}}))
DEBUG - heuristics @ 14:49:52.399: H((id=585660317,d=2,props={send reminder}|{send invoice},state=PlaceState{presetChildrenMask={4, 5, 6}, postsetChildrenMask={6}})) = 2.0
DEBUG - heuristics @ 14:49:52.399: EnqueueNodeEvent((id=585660317,d=2,props={send reminder}|{send invoice},state=PlaceState{presetChildrenMask={4, 5, 6}, postsetChildrenMask={6}}))
DEBUG - heuristics @ 14:49:52.399: H((id=815815845,d=2,props={cancel order}|{send invoice},state=PlaceState{presetChildrenMask={5, 6}, postsetChildrenMask={6}})) = 2.0
DEBUG - heuristics @ 14:49:52.399: EnqueueNodeEvent((id=815815845,d=2,props={cancel order}|{send invoice},state=PlaceState{presetChildrenMask={5, 6}, postsetChildrenMask={6}}))
DEBUG - heuristics @ 14:49:52.399: H((id=-858555060,d=2,props={pay}|{send invoice},state=PlaceState{presetChildrenMask={6}, postsetChildrenMask={6}})) = 2.0
DEBUG - heuristics @ 14:49:52.399: EnqueueNodeEvent((id=-858555060,d=2,props={pay}|{send invoice},state=PlaceState{presetChildrenMask={6}, postsetChildrenMask={6}}))
DEBUG - heuristics @ 14:49:52.399: H((id=-1479642539,d=2,props={make delivery}|{send invoice},state=PlaceState{presetChildrenMask={}, postsetChildrenMask={6}})) = 2.0
DEBUG - heuristics @ 14:49:52.399: EnqueueNodeEvent((id=-1479642539,d=2,props={make delivery}|{send invoice},state=PlaceState{presetChildrenMask={}, postsetChildrenMask={6}}))
DEBUG - heuristics @ 14:49:52.399: DequeueNodeEvent((id=1765544883,d=1,props={}|{send invoice},state=PlaceState{presetChildrenMask={0, 1, 2, 3, 4, 5, 6}, postsetChildrenMask={}}))
DEBUG - heuristics @ 14:49:52.399: H((id=-591502140,d=3,props={make delivery}|{send invoice, place order},state=PlaceState{presetChildrenMask={}, postsetChildrenMask={}})) = 3.0
DEBUG - heuristics @ 14:49:52.399: EnqueueNodeEvent((id=-591502140,d=3,props={make delivery}|{send invoice, place order},state=PlaceState{presetChildrenMask={}, postsetChildrenMask={}}))
DEBUG - heuristics @ 14:49:52.399: DequeueNodeEvent((id=-1479642539,d=2,props={make delivery}|{send invoice},state=PlaceState{presetChildrenMask={}, postsetChildrenMask={6}}))
DEBUG - heuristics @ 14:49:52.399: H((id=1911408985,d=3,props={make delivery}|{pay, cancel order},state=PlaceState{presetChildrenMask={}, postsetChildrenMask={4, 5, 6}})) = 3.0
DEBUG - heuristics @ 14:49:52.399: EnqueueNodeEvent((id=1911408985,d=3,props={make delivery}|{pay, cancel order},state=PlaceState{presetChildrenMask={}, postsetChildrenMask={4, 5, 6}}))
DEBUG - heuristics @ 14:49:52.399: H((id=-1825217817,d=3,props={make delivery}|{pay, send reminder},state=PlaceState{presetChildrenMask={}, postsetChildrenMask={5, 6}})) = 3.0
DEBUG - heuristics @ 14:49:52.399: EnqueueNodeEvent((id=-1825217817,d=3,props={make delivery}|{pay, send reminder},state=PlaceState{presetChildrenMask={}, postsetChildrenMask={5, 6}}))
DEBUG - heuristics @ 14:49:52.399: H((id=709167986,d=3,props={make delivery}|{pay, send invoice},state=PlaceState{presetChildrenMask={}, postsetChildrenMask={6}})) = 3.0
DEBUG - heuristics @ 14:49:52.399: EnqueueNodeEvent((id=709167986,d=3,props={make delivery}|{pay, send invoice},state=PlaceState{presetChildrenMask={}, postsetChildrenMask={6}}))
DEBUG - heuristics @ 14:49:52.399: H((id=-212466225,d=3,props={make delivery}|{pay, place order},state=PlaceState{presetChildrenMask={}, postsetChildrenMask={}})) = 3.0
DEBUG - heuristics @ 14:49:52.399: EnqueueNodeEvent((id=-212466225,d=3,props={make delivery}|{pay, place order},state=PlaceState{presetChildrenMask={}, postsetChildrenMask={}}))
DEBUG - heuristics @ 14:49:52.399: DequeueNodeEvent((id=-469068854,d=2,props={make delivery}|{pay},state=PlaceState{presetChildrenMask={}, postsetChildrenMask={3, 4, 5, 6}}))
DEBUG - heuristics @ 14:49:52.399: DequeueNodeEvent((id=-871630153,d=2,props={make delivery}|{place order},state=PlaceState{presetChildrenMask={}, postsetChildrenMask={}}))
DEBUG - heuristics @ 14:49:52.399: H((id=-1998838025,d=3,props={▷, place order}|{place order},state=PlaceState{presetChildrenMask={}, postsetChildrenMask={}})) = 3.0
DEBUG - heuristics @ 14:49:52.399: EnqueueNodeEvent((id=-1998838025,d=3,props={▷, place order}|{place order},state=PlaceState{presetChildrenMask={}, postsetChildrenMask={}}))
DEBUG - heuristics @ 14:49:52.399: H((id=-1052067454,d=3,props={▷, send invoice}|{place order},state=PlaceState{presetChildrenMask={}, postsetChildrenMask={}})) = 3.0
DEBUG - heuristics @ 14:49:52.399: EnqueueNodeEvent((id=-1052067454,d=3,props={▷, send invoice}|{place order},state=PlaceState{presetChildrenMask={}, postsetChildrenMask={}}))
DEBUG - heuristics @ 14:49:52.399: H((id=-1941393049,d=3,props={▷, send reminder}|{place order},state=PlaceState{presetChildrenMask={}, postsetChildrenMask={}})) = 3.0
DEBUG - heuristics @ 14:49:52.399: EnqueueNodeEvent((id=-1941393049,d=3,props={▷, send reminder}|{place order},state=PlaceState{presetChildrenMask={}, postsetChildrenMask={}}))
DEBUG - heuristics @ 14:49:52.399: H((id=-668147803,d=3,props={▷, cancel order}|{place order},state=PlaceState{presetChildrenMask={}, postsetChildrenMask={}})) = 3.0
